country,happiness_rank,happiness_score,economy_gdp_per_capita,health_life_expectancy,freedom,trust_government_corruption,generosity,year
France,24,6.592,1.324,1.045,0.436,0.183,0.111,2019
Taiwan,25,6.446,1.368,0.914,0.351,0.097,0.242,2019
Chile,26,6.444,1.159,0.92,0.357,0.056,0.187,2019
Guatemala,27,6.436,0.8,0.746,0.535,0.078,0.175,2019
Saudi Arabia,28,6.375,1.403,0.795,0.439,0.132,0.08,2019
Qatar,29,6.374,1.684,0.871,0.555,0.167,0.22,2019
Spain,30,6.354,1.286,1.062,0.362,0.079,0.153,2019
Panama,31,6.321,1.149,0.91,0.516,0.054,0.109,2019
Brazil,32,6.3,1.004,0.802,0.39,0.086,0.099,2019
Uruguay,33,6.293,1.124,0.891,0.523,0.15,0.127,2019
Singapore,34,6.262,1.572,1.141,0.556,0.453,0.271,2019
El Salvador,35,6.253,0.794,0.789,0.43,0.074,0.093,2019
Italy,36,6.223,1.294,1.039,0.231,0.03,0.158,2019
Bahrain,37,6.199,1.362,0.871,0.536,0.11,0.255,2019
Slovakia,38,6.198,1.246,0.881,0.334,0.014,0.121,2019
Trinidad & Tobago,39,6.192,1.231,0.713,0.489,0.016,0.185,2019
Poland,40,6.182,1.206,0.884,0.483,0.05,0.117,2019
Uzbekistan,41,6.174,0.745,0.756,0.631,0.24,0.322,2019
Lithuania,42,6.149,1.238,0.818,0.291,0.042,0.043,2019
Colombia,43,6.125,0.985,0.841,0.47,0.034,0.099,2019
Slovenia,44,6.118,1.258,0.953,0.564,0.057,0.144,2019
Nicaragua,45,6.105,0.694,0.835,0.435,0.127,0.2,2019
Kosovo,46,6.1,0.882,0.758,0.489,0.006,0.262,2019
Argentina,47,6.086,1.092,0.881,0.471,0.05,0.066,2019
Romania,48,6.07,1.162,0.825,0.462,0.005,0.083,2019
Cyprus,49,6.046,1.263,1.042,0.406,0.041,0.19,2019
Ecuador,50,6.028,0.912,0.868,0.498,0.087,0.126,2019
Kuwait,51,6.021,1.5,0.808,0.493,0.097,0.142,2019
Thailand,52,6.008,1.05,0.828,0.557,0.028,0.359,2019
Latvia,53,5.94,1.187,0.812,0.264,0.064,0.075,2019
South Korea,54,5.895,1.301,1.036,0.159,0.056,0.175,2019
Estonia,55,5.893,1.237,0.874,0.495,0.161,0.103,2019
Jamaica,56,5.89,0.831,0.831,0.49,0.028,0.107,2019
Mauritius,57,5.888,1.12,0.798,0.498,0.06,0.215,2019
Japan,58,5.886,1.327,1.088,0.445,0.14,0.069,2019
Honduras,59,5.86,0.642,0.828,0.507,0.078,0.246,2019
Kazakhstan,60,5.809,1.173,0.729,0.41,0.096,0.146,2019
Bolivia,61,5.779,0.776,0.706,0.511,0.064,0.137,2019
Hungary,62,5.758,1.201,0.828,0.199,0.02,0.081,2019
Paraguay,63,5.743,0.855,0.777,0.514,0.08,0.184,2019
Northern Cyprus,64,5.718,1.263,1.042,0.417,0.162,0.191,2019
Peru,65,5.697,0.96,0.854,0.455,0.027,0.083,2019
Portugal,66,5.693,1.221,0.999,0.508,0.025,0.047,2019
Pakistan,67,5.653,0.677,0.535,0.313,0.098,0.22,2019
Russia,68,5.648,1.183,0.726,0.334,0.031,0.082,2019
Philippines,69,5.631,0.807,0.657,0.558,0.107,0.117,2019
Serbia,70,5.603,1.004,0.854,0.282,0.039,0.137,2019
Moldova,71,5.529,0.685,0.739,0.245,0.0,0.181,2019
Libya,72,5.525,1.044,0.673,0.416,0.152,0.133,2019
Montenegro,73,5.523,1.051,0.871,0.197,0.08,0.142,2019
Tajikistan,74,5.467,0.493,0.718,0.389,0.144,0.23,2019
Croatia,75,5.432,1.155,0.914,0.296,0.022,0.119,2019
Hong Kong,76,5.43,1.438,1.122,0.44,0.287,0.258,2019
Dominican Republic,77,5.425,1.015,0.779,0.497,0.101,0.113,2019
Bosnia and Herzegovina,78,5.386,0.945,0.845,0.212,0.006,0.263,2019
Turkey,79,5.373,1.183,0.808,0.195,0.106,0.083,2019
Malaysia,80,5.339,1.221,0.828,0.508,0.024,0.26,2019
Belarus,81,5.323,1.067,0.789,0.235,0.142,0.094,2019
Greece,82,5.287,1.181,0.999,0.067,0.034,0.0,2019
Mongolia,83,5.285,0.948,0.667,0.317,0.038,0.235,2019
North Macedonia,84,5.274,0.983,0.838,0.345,0.034,0.185,2019
Nigeria,85,5.265,0.696,0.245,0.426,0.041,0.215,2019
Kyrgyzstan,86,5.261,0.551,0.723,0.508,0.023,0.3,2019
Turkmenistan,87,5.247,1.052,0.657,0.394,0.028,0.244,2019
Algeria,88,5.211,1.002,0.785,0.086,0.114,0.073,2019
Morocco,89,5.208,0.801,0.782,0.418,0.076,0.036,2019
Azerbaijan,90,5.208,1.043,0.769,0.351,0.182,0.035,2019
Lebanon,91,5.197,0.987,0.815,0.216,0.027,0.166,2019
Indonesia,92,5.192,0.931,0.66,0.491,0.028,0.498,2019
China,93,5.191,1.029,0.893,0.521,0.1,0.058,2019
Vietnam,94,5.175,0.741,0.851,0.543,0.073,0.147,2019
Bhutan,95,5.082,0.813,0.604,0.457,0.167,0.37,2019
Cameroon,96,5.044,0.549,0.331,0.381,0.037,0.187,2019
Bulgaria,97,5.011,1.092,0.815,0.311,0.004,0.081,2019
Ghana,98,4.996,0.611,0.486,0.381,0.04,0.245,2019
Ivory Coast,99,4.944,0.569,0.232,0.352,0.09,0.154,2019
Nepal,100,4.913,0.446,0.677,0.439,0.089,0.285,2019
Jordan,101,4.906,0.837,0.815,0.383,0.13,0.11,2019
Benin,102,4.883,0.393,0.397,0.349,0.082,0.175,2019
Congo (Brazzaville),103,4.812,0.673,0.508,0.372,0.093,0.105,2019
Gabon,104,4.799,1.057,0.571,0.295,0.055,0.043,2019
Laos,105,4.796,0.764,0.551,0.547,0.164,0.266,2019
South Africa,106,4.722,0.96,0.469,0.389,0.055,0.13,2019
Albania,107,4.719,0.947,0.874,0.383,0.027,0.178,2019
Venezuela,108,4.707,0.96,0.805,0.154,0.047,0.064,2019
Cambodia,109,4.7,0.574,0.637,0.609,0.062,0.232,2019
Palestinian Territories,110,4.696,0.657,0.672,0.225,0.066,0.103,2019
Senegal,111,4.681,0.45,0.571,0.292,0.072,0.153,2019
Somalia,112,4.668,0.0,0.268,0.559,0.27,0.243,2019
Namibia,113,4.639,0.879,0.477,0.401,0.056,0.07,2019
Niger,114,4.628,0.138,0.366,0.318,0.102,0.188,2019
Burkina Faso,115,4.587,0.331,0.38,0.255,0.113,0.177,2019
Armenia,116,4.559,0.85,0.815,0.283,0.064,0.095,2019
Iran,117,4.548,1.1,0.785,0.305,0.125,0.27,2019
Guinea,118,4.534,0.38,0.375,0.332,0.086,0.207,2019
Georgia,119,4.519,0.886,0.752,0.346,0.164,0.043,2019
Gambia,120,4.516,0.308,0.428,0.382,0.167,0.269,2019
Kenya,121,4.509,0.512,0.581,0.431,0.053,0.372,2019
Mauritania,122,4.49,0.57,0.489,0.066,0.088,0.106,2019
Mozambique,123,4.466,0.204,0.39,0.494,0.138,0.197,2019
Tunisia,124,4.461,0.921,0.815,0.167,0.055,0.059,2019
Bangladesh,125,4.456,0.562,0.723,0.527,0.143,0.166,2019
Iraq,126,4.437,1.043,0.574,0.241,0.089,0.148,2019
Congo (Kinshasa),127,4.418,0.094,0.357,0.269,0.053,0.212,2019
Mali,128,4.39,0.385,0.308,0.327,0.052,0.153,2019
Sierra Leone,129,4.374,0.268,0.242,0.309,0.045,0.252,2019
Sri Lanka,130,4.366,0.949,0.831,0.47,0.047,0.244,2019
Myanmar,131,4.36,0.71,0.555,0.525,0.172,0.566,2019
Chad,132,4.35,0.35,0.192,0.174,0.078,0.198,2019
Ukraine,133,4.332,0.82,0.739,0.178,0.01,0.187,2019
Ethiopia,134,4.286,0.336,0.532,0.344,0.1,0.209,2019
Swaziland,135,4.212,0.811,0.0,0.313,0.135,0.074,2019
Uganda,136,4.189,0.332,0.443,0.356,0.06,0.252,2019
Egypt,137,4.166,0.913,0.644,0.241,0.067,0.076,2019
Zambia,138,4.107,0.578,0.426,0.431,0.087,0.247,2019
Togo,139,4.085,0.275,0.41,0.293,0.085,0.177,2019
India,140,4.015,0.755,0.588,0.498,0.085,0.2,2019
Liberia,141,3.975,0.073,0.443,0.37,0.033,0.233,2019
Comoros,142,3.973,0.274,0.505,0.142,0.078,0.275,2019
Madagascar,143,3.933,0.274,0.555,0.148,0.041,0.169,2019
Lesotho,144,3.802,0.489,0.168,0.359,0.093,0.107,2019
Burundi,145,3.775,0.046,0.38,0.22,0.18,0.176,2019
Zimbabwe,146,3.663,0.366,0.433,0.361,0.089,0.151,2019
Haiti,147,3.597,0.323,0.449,0.026,0.11,0.419,2019
Botswana,148,3.488,1.041,0.538,0.455,0.1,0.025,2019
Syria,149,3.462,0.619,0.44,0.013,0.141,0.331,2019
Malawi,150,3.41,0.191,0.495,0.443,0.089,0.218,2019
Yemen,151,3.38,0.287,0.463,0.143,0.077,0.108,2019
Rwanda,152,3.334,0.359,0.614,0.555,0.411,0.217,2019
Tanzania,153,3.231,0.476,0.499,0.417,0.147,0.276,2019
Afghanistan,154,3.203,0.35,0.361,0.0,0.025,0.158,2019
Central African Republic,155,3.083,0.026,0.105,0.225,0.035,0.235,2019
South Sudan,156,2.853,0.306,0.295,0.01,0.091,0.202,2019
Finland,1,7.808700085,10.63926697,0.8448403617177899,0.949172199,0.195444584,-0.059482019,2020
Denmark,2,7.645599842,10.77400112,0.8607139620349322,0.951444268,0.168489456,0.066201776,2020
Switzerland,3,7.559899807,10.97993279,0.9145018479604898,0.921336651,0.303728431,0.105911039,2020
Iceland,4,7.504499912,10.77255917,0.8796193242110275,0.948891878,0.711709738,0.246944219,2020
Norway,5,7.487999916,11.08780384,0.8859722888903463,0.955750287,0.263218194,0.13453263,2020
Netherlands,6,7.448900223,10.81271172,0.8574997003606751,0.908547819,0.364717126,0.20761244,2020
Sweden,7,7.353499889,10.75879383,0.8669872638930534,0.939144194,0.250880182,0.111614622,2020
New Zealand,8,7.299600124,10.50094318,0.8860307079550545,0.936217487,0.22113885,0.191598073,2020
Austria,9,7.294199944,10.7428236,0.8796985038744036,0.899989486,0.499954879,0.085429221,2020
Luxembourg,10,7.237500191,11.45068073,0.8669628823002049,0.90563643,0.367084295,-0.004620588,2020
Canada,11,7.23210001,10.69236851,0.8986545606018438,0.933913231,0.390843362,0.124770768,2020
Australia,12,7.222799778,10.72059631,0.8987474999798235,0.915431738,0.41516912,0.19046016,2020
United Kingdom,13,7.164500237,10.60013485,0.8575214263257573,0.834743679,0.435915917,0.263732493,2020
Israel,14,7.128600121,10.41752529,0.8859556321272709,0.747580588,0.78085506,0.10259372,2020
Costa Rica,15,7.121399879,9.658156395,0.8258249202428176,0.934738934,0.786332428,-0.10242971,2020
Ireland,16,7.093699932,11.16097832,0.8574955965250826,0.886982977,0.357184172,0.145784974,2020
Germany,17,7.075799942,10.7328186,0.8543704121303284,0.867371082,0.456422031,0.080179386,2020
United States,18,6.939599991,10.92576885,0.7308908645886883,0.842619538,0.699715316,0.149891734,2020
Czech Republic,19,6.910900116,10.40416336,0.7862130990202977,0.818537354,0.85844624,-0.230861515,2020
Belgium,20,6.863500118,10.6736393,0.8480304832199049,0.813582063,0.612297952,-0.078691199,2020
United Arab Emirates,21,6.790800095,11.1099987,0.692392869908966,0.941345513,0.594502211,0.123450845,2020
Malta,22,6.772799969,10.53383827,0.8543064407057919,0.924911439,0.658547282,0.214965805,2020
France,23,6.663799763,10.58422279,0.9049932824087372,0.825467646,0.583521128,-0.130641967,2020
Mexico,24,6.465000153,9.797797203,0.7308758977705547,0.858709276,0.806821585,-0.175266623,2020
Taiwan Province of China,25,6.45539999,10.77568531,0.7720399310493227,0.77153033,0.73188293,-0.073198698,2020
Uruguay,26,6.440100193,9.948192596,0.7531360173974633,0.892395437,0.635994136,-0.101103112,2020
Saudi Arabia,27,6.406499863,10.79781246,0.6677875341721085,0.854191244,0.682619512,-0.168695062,2020
Spain,28,6.400899887,10.46292686,0.9240024472617631,0.751989543,0.765859902,-0.050961714,2020
Guatemala,29,6.398900032,8.924805641,0.6204462765659673,0.908147573,0.783237457,-0.042938665,2020
Italy,30,6.38740015,10.48183632,0.8986572159132004,0.66465199,0.873404682,-0.043460999,2020
Singapore,31,6.377099991,11.39552116,1.0,0.926645339,0.109784193,0.029879224,2020
Brazil,32,6.375599861,9.56643486,0.6733252856748223,0.799804807,0.770601273,-0.101812392,2020
Slovenia,33,6.363399982,10.39232254,0.8195960363140951,0.936142623,0.817071021,-0.080603383,2020
El Salvador,34,6.34829998,8.909075737,0.6615579259812678,0.833805263,0.754319906,-0.121072978,2020
Kosovo,35,6.325200081,9.204429626,0.591229326616144,0.861535907,0.922328293,0.190933764,2020
Panama,36,6.304800034,10.03423405,0.7721352846343623,0.880366504,0.851588905,-0.153927714,2020
Slovakia,37,6.280600071,10.34774971,0.7500919437153233,0.749952674,0.918096125,-0.124409303,2020
Uzbekistan,38,6.257599831,8.740371704,0.6298952159494815,0.974998116,0.501497388,0.248427153,2020
Chile,39,6.228499889,10.0320549,0.781551876490959,0.744896293,0.838239431,-0.065668367,2020
Bahrain,40,6.227300167,10.67638016,0.7372348973347043,0.905855775,0.7393471,0.13372919,2020
Lithuania,41,6.215499878,10.34362602,0.6990782443220407,0.747381449,0.809583843,-0.219725296,2020
Trinidad and Tobago,42,6.191899776,10.26000214,0.5790299785832339,0.857907116,0.912230611,0.000526841,2020
Poland,43,6.186299801,10.26512432,0.7628999858059495,0.862055779,0.686927021,-0.205084071,2020
Colombia,44,6.163400173,9.500369072,0.7119089780605731,0.836179912,0.86457181,-0.161235645,2020
Cyprus,45,6.15899992,10.40570259,0.9018384054820121,0.779858291,0.856271744,0.043731496,2020
Nicaragua,46,6.13710022,8.493160248,0.7058210724334093,0.863902867,0.665950119,0.020959141,2020
Romania,47,6.123700142,10.107584,0.6963306118525588,0.842823207,0.934300244,-0.19781521,2020
Kuwait,48,6.102099895,11.08982468,0.6824215375673245,0.872366488,0.760849059,-0.100184701,2020
Mauritius,49,6.101299763,9.956786156,0.67092623717717,0.889534533,0.805343091,-0.018318573,2020
Kazakhstan,50,6.057899952,10.11465836,0.6141502827435305,0.811601937,0.764490843,-0.068488635,2020
Estonia,51,6.021800041,10.34001732,0.7405558584179546,0.87770915,0.623073816,-0.111697771,2020
Philippines,52,6.006000042,8.993545532,0.5292511688827247,0.915463448,0.733634114,-0.105463006,2020
Hungary,53,6.000400066,10.24924374,0.7090734754151187,0.718964577,0.892916501,-0.194323018,2020
Thailand,54,5.998799801,9.741791725,0.6977024968798567,0.905063033,0.886272311,0.268685192,2020
Argentina,55,5.974699974,9.810955048,0.746847506984093,0.831132412,0.842009842,-0.194913864,2020
Honduras,56,5.953199863,8.424534798,0.6960626563847514,0.870603263,0.801131904,0.086969115,2020
Latvia,57,5.949999809,10.17531967,0.6836814122465068,0.671237648,0.795580089,-0.186888844,2020
Ecuador,58,5.925199986,9.246058464,0.7372361044382342,0.859828949,0.801215112,-0.127014965,2020
Portugal,59,5.910900116,10.26374245,0.8606987537960927,0.888747811,0.892629504,-0.220714301,2020
Jamaica,60,5.889800072,9.006250381,0.6929374716735874,0.858068526,0.888890028,-0.125106767,2020
South Korea,61,5.872399807,10.51056671,0.8986902880186457,0.612965107,0.789067447,-0.043404032,2020
Japan,62,5.870800018,10.57968903,0.9429319496100008,0.809961379,0.654558063,-0.246910349,2020
Peru,63,5.796800137,9.456313133,0.7245859391493582,0.824766099,0.893714964,-0.16238822,2020
Serbia,64,5.77820015,9.680980682,0.7280655009800663,0.726495862,0.843509018,-0.073676221,2020
Bolivia,65,5.747499943,8.851115227,0.5822089956821015,0.875873327,0.822606206,-0.09168113,2020
Pakistan,66,5.69329977,8.482727051,0.41301402989411606,0.734833717,0.745705426,0.04489987,2020
Paraguay,67,5.692100048,9.389982224,0.6467397331422148,0.885923445,0.834788501,0.007997713,2020
Dominican Republic,68,5.689199924,9.664880753,0.6520411527583307,0.866202772,0.755999923,-0.131263286,2020
Bosnia and Herzegovina,69,5.674099922,9.455817223,0.7153436394368808,0.651352704,0.933769107,0.098274559,2020
Moldova,70,5.607500076,8.776714325,0.6269032853429226,0.721609175,0.913314283,-0.037741039,2020
Tajikistan,71,5.555699825,8.024810791,0.5981598442969717,0.831383407,0.592076063,-0.025088511,2020
Montenegro,72,5.54610014,9.751860619,0.7374041199604072,0.649565637,0.783121586,-0.075600356,2020
Russia,73,5.546000004,10.12887192,0.5980290047158365,0.729892612,0.864802599,-0.151153743,2020
Kyrgyzstan,74,5.541500092,8.148405075,0.5982047450677825,0.909374893,0.888396084,0.154772058,2020
Belarus,75,5.539899826,9.779945374,0.6614336041263753,0.639163077,0.63571167,-0.164926544,2020
North Cyprus,76,5.53550005,10.40570259,0.9018384054820121,0.79529351,0.62611568,0.000227159,2020
Greece,77,5.514999866,10.13232613,0.8608011079487874,0.541345119,0.859931409,-0.300907373,2020
Hong Kong S.A.R. of China,78,5.510399818,10.9346714,0.9989598007607502,0.779833794,0.420607209,0.134979904,2020
Croatia,79,5.504700184,10.07087517,0.7914961719283958,0.714838803,0.916495264,-0.128538325,2020
Libya,80,5.488800049,9.789815903,0.5410607740357333,0.773157001,0.668779135,-0.085054487,2020
Mongolia,81,5.456200123,9.412186623,0.5412027180201158,0.693351328,0.863511205,0.098093867,2020
Malaysia,82,5.384300232,10.26251888,0.6930057883544225,0.894626856,0.839302301,0.114726797,2020
Vietnam,83,5.353499889,8.809545517,0.7199189228394847,0.939592957,0.79642123,-0.094533332,2020
Indonesia,84,5.285600185,9.36975193,0.5364997331891448,0.870614409,0.876296401,0.519586504,2020
Ivory Coast,85,5.233300209,8.225561142,0.13617557928415097,0.727909327,0.790771961,-0.043991156,2020
Benin,86,5.21600008,7.674319744,0.28832735414243493,0.735182583,0.740532577,-0.003537213,2020
Maldives,87,5.197599888,9.518632889,0.8036809147996167,0.853962779,0.824211061,0.038085498,2020
Congo (Brazzaville),88,5.194399834,8.536987305,0.4026150547858272,0.719058514,0.751779079,-0.123674095,2020
Azerbaijan,89,5.164800167,9.687726974,0.6425777290816853,0.786824107,0.55253756,-0.240255281,2020
Macedonia,90,5.159800053,9.510591507,0.7057339265195542,0.738840938,0.897490501,-0.019877451,2020
Ghana,91,5.147999763,8.350645065,0.37981793735551167,0.794796526,0.847964764,0.094170853,2020
Nepal,92,5.137199879,7.925357342,0.5878634647620835,0.797565043,0.738099158,0.154168829,2020
Turkey,93,5.131800175,10.12941933,0.6866984487080321,0.608830452,0.748197377,-0.171046436,2020
China,94,5.123899937,9.688568115,0.7622057149107632,0.898517907,0.7539711,-0.18142575,2020
Turkmenistan,95,5.119100094,9.74803257,0.5382671545604689,0.826457024,0.883691847,0.187671542,2020
Bulgaria,96,5.101500034,9.869318962,0.6835710918433336,0.745178163,0.935585141,-0.143908441,2020
Morocco,97,5.094799995,8.940313339,0.6548493767624649,0.772072434,0.815724611,-0.240377247,2020
Cameroon,98,5.084899902,8.118647575,0.23746368585257138,0.763051808,0.851336598,-0.00149645,2020
Venezuela,99,5.053199768,8.977793694,0.674121911039113,0.62327832,0.837038398,-0.169090509,2020
Algeria,100,5.005099773,9.537964821,0.6551320582605192,0.466610909,0.735485137,-0.121105164,2020
Senegal,101,4.980800152,8.118982315,0.455603298062883,0.690596163,0.808785141,-0.052335154,2020
Guinea,102,4.949299812,7.750990391,0.29324228958356546,0.706846774,0.761794448,0.076328471,2020
Niger,103,4.909599781,6.842166901,0.2626231586809133,0.759772122,0.722530186,0.013860817,2020
Laos,104,4.888599873,8.79858017,0.42746722341896987,0.907213569,0.634679317,0.11137148,2020
Albania,105,4.882699966,9.417930603,0.7438205729064409,0.781994224,0.896303713,-0.042309489,2020
Cambodia,106,4.848400116,8.249890327,0.5166962363103302,0.959704638,0.822769046,0.051911179,2020
Bangladesh,107,4.832799911,8.287063599,0.6107680058635099,0.90062499,0.661843538,-0.033664726,2020
Gabon,108,4.829299927,9.680537224,0.4592796022649113,0.704829216,0.849150956,-0.222261623,2020
South Africa,109,4.814099789,9.403370857,0.3577333166598428,0.759330094,0.843423843,-0.109777324,2020
Iraq,110,4.784800053,9.661095619,0.4652347369452919,0.633182645,0.82226181,-0.06956476,2020
Lebanon,111,4.771500111,9.3617239,0.6931458012895665,0.551357508,0.90225625,-0.06121527,2020
Burkina Faso,112,4.768700123,7.46854496,0.2749428452852719,0.665563583,0.739795029,-0.019080516,2020
Gambia,113,4.750599861,7.321814537,0.31046182425877283,0.733163178,0.690717816,0.343198717,2020
Mali,114,4.729300022,7.629852295,0.20652011115023233,0.71156615,0.839328408,-0.044366926,2020
Nigeria,115,4.724100113,8.57662487,0.147507329960579,0.759578407,0.861874342,0.033745807,2020
Armenia,116,4.676799774,9.100476265,0.6818839363703575,0.712017834,0.773544788,-0.13877961,2020
Georgia,117,4.672599792,9.226100922,0.6105193621537244,0.801641524,0.665944695,-0.22892037,2020
Iran,118,4.672399998,9.813719749,0.6583270075439348,0.647873282,0.714635968,0.117891103,2020
Jordan,119,4.633399963,9.025999069,0.6834373552137257,0.75104779,0.700344324,-0.162565202,2020
Mozambique,120,4.623600006,7.069345951,0.28495304319648324,0.864451885,0.683019102,0.032375868,2020
Kenya,121,4.583000183,8.02977562,0.4713535422079569,0.829747558,0.831499159,0.294681519,2020
Namibia,122,4.571100235,9.203141212,0.3575901655719302,0.767520964,0.851449788,-0.18530646,2020
Ukraine,123,4.56069994,9.010690689,0.6140496185357781,0.663081884,0.920636714,-0.030933706,2020
Liberia,124,4.557899952,7.054380417,0.34477005371164254,0.735268712,0.856375933,0.04227322,2020
Palestinian Territories,125,4.552800179,8.389223099,0.5394787488953663,0.645791829,0.824199975,-0.162079096,2020
Uganda,126,4.43200016,7.500389576,0.33248983607041416,0.731713951,0.836737812,0.099487431,2020
Chad,127,4.422699928,7.467963696,0.09557280421667043,0.587305248,0.802760839,0.017834719,2020
Tunisia,128,4.392199993,9.314972878,0.6865415379055158,0.593361557,0.867590249,-0.216413811,2020
Mauritania,129,4.374599934,8.233919144,0.37368561379894916,0.551522553,0.746223509,-0.106008142,2020
Sri Lanka,130,4.327000141,9.389969826,0.6961036944242657,0.837633669,0.859001756,0.081129618,2020
Congo (Kinshasa),131,4.31099987,6.694256306,0.2436355992408217,0.700793564,0.809403598,0.083637655,2020
Swaziland,132,4.308100224,9.16267395,0.18947366151561443,0.646822274,0.708263338,-0.19920142,2020
Myanmar,133,4.308000088,8.680481911,0.4354340779241613,0.895075202,0.645124316,0.560663998,2020
Comoros,134,4.288599968,7.833630085,0.38440661881627497,0.547612607,0.780622602,0.090008408,2020
Togo,135,4.187200069,7.357711315,0.3012189208363257,0.649828613,0.757733464,0.002667875,2020
Ethiopia,136,4.186200142,7.509385586,0.4252418633554672,0.740795195,0.753690004,0.043377332,2020
Madagascar,137,4.165599823,7.281685829,0.43998135905614627,0.557574093,0.817485631,-0.011823639,2020
Egypt,138,4.151400089,9.316541672,0.5246122760284383,0.708354175,0.787726879,-0.196878314,2020
Sierra Leone,139,3.926399946,7.26880312,0.17925066786356753,0.715315044,0.861330688,0.088660747,2020
Burundi,140,3.775300026,6.492642403,0.25945609111596873,0.626350224,0.606934547,-0.017551597,2020
Zambia,141,3.759399891,8.224720001,0.31955421341997886,0.806500256,0.801289678,0.078037128,2020
Haiti,142,3.720799923,7.411329269,0.32902270629863106,0.537825167,0.684767246,0.40053457,2020
Lesotho,143,3.652800083,7.960488319,0.08870939611314738,0.738125861,0.857392073,-0.145732045,2020
India,144,3.573299885,8.849823952,0.475095266042348,0.881444871,0.772042692,0.057551607,2020
Malawi,145,3.538000107,7.062226295,0.3921231399831486,0.803223193,0.731700778,0.021433279,2020
Yemen,146,3.527400017,7.759682655,0.3647345652285655,0.599920273,0.800287724,-0.157735437,2020
Botswana,147,3.478899956,9.711203575,0.43425519372185495,0.821328104,0.777930915,-0.250394493,2020
Tanzania,148,3.476200104,7.967665195,0.3890598750951347,0.82153976,0.619799435,0.109668687,2020
Central African Republic,149,3.475899935,6.625160217,0.0,0.640880644,0.891806662,0.082410358,2020
Rwanda,150,3.312299967,7.600104332,0.5030551178093131,0.900589406,0.183541179,0.055483952,2020
Zimbabwe,151,3.299200058,7.865711689,0.32961232970262105,0.711457908,0.81023699,-0.072063953,2020
South Sudan,152,2.816600084,7.425359726,0.18351768170455793,0.451313615,0.763417304,0.016518548,2020
Afghanistan,153,2.566900015,7.462860584,0.23382685061367312,0.396573007,0.933686554,-0.0964294,2020
Finland,1,7.842,10.775,0.8260579455662861,0.949,0.186,-0.098,2021
Denmark,2,7.62,10.933,0.8506409130816506,0.946,0.179,0.03,2021
Switzerland,3,7.571,11.117,0.9103424056189641,0.919,0.292,0.025,2021
Iceland,4,7.554,10.878,0.8611764705882352,0.955,0.673,0.16,2021
Netherlands,5,7.464,10.932,0.8401053555750659,0.913,0.338,0.175,2021
Norway,6,7.392,11.053,0.8717120280948198,0.96,0.27,0.093,2021
Sweden,7,7.363,10.867,0.8506409130816506,0.945,0.237,0.086,2021
Luxembourg,8,7.324,11.647,0.8471290605794554,0.907,0.386,-0.034,2021
New Zealand,9,7.277,10.643,0.8752238805970151,0.929,0.242,0.134,2021
Austria,10,7.268,10.906,0.8717120280948198,0.908,0.481,0.042,2021
Australia,11,7.183,10.796,0.8927831431079896,0.914,0.442,0.159,2021
Israel,12,7.157,10.575,0.8788410886742756,0.8,0.753,0.031,2021
Germany,13,7.155,10.873,0.8436172080772607,0.875,0.46,0.011,2021
Canada,14,7.103,10.776,0.8892712906057944,0.915,0.415,0.089,2021
Ireland,15,7.085,11.342,0.8401053555750659,0.879,0.363,0.077,2021
Costa Rica,16,7.069,9.88,0.8049868305531169,0.934,0.809,-0.126,2021
United Kingdom,17,7.064,10.707,0.8436172080772607,0.859,0.459,0.233,2021
Czech Republic,18,6.965,10.556,0.784161545215101,0.858,0.868,-0.208,2021
United States,19,6.951,11.023,0.6926075504828797,0.837,0.698,0.098,2021
Belgium,20,6.834,10.823,0.8330465320456539,0.783,0.646,-0.153,2021
France,21,6.69,10.704,0.8962949956101842,0.822,0.571,-0.147,2021
Bahrain,22,6.647,10.669,0.7380860403863039,0.925,0.722,0.089,2021
Malta,23,6.602,10.674,0.8330816505706761,0.927,0.653,0.133,2021
Taiwan Province of China,24,6.584,10.871,0.7417734855136081,0.784,0.721,-0.07,2021
United Arab Emirates,25,6.561,11.085,0.6621597892888498,0.932,0.589,0.074,2021
Saudi Arabia,26,6.494,10.743,0.6365232660228267,0.877,0.684,-0.149,2021
Spain,27,6.491,10.571,0.9208779631255487,0.761,0.745,-0.081,2021
Italy,28,6.483,10.623,0.8892712906057944,0.693,0.866,-0.084,2021
Slovenia,29,6.461,10.529,0.8049868305531169,0.949,0.806,-0.101,2021
Guatemala,30,6.435,9.053,0.5787532923617207,0.906,0.775,-0.038,2021
Uruguay,31,6.431,9.966,0.7242142230026336,0.896,0.59,-0.092,2021
Singapore,32,6.377,11.488,1.0,0.927,0.082,-0.018,2021
Kosovo,33,6.372,9.318,0.5385425812115892,0.869,0.917,0.257,2021
Slovakia,34,6.331,10.369,0.7277611940298504,0.766,0.911,-0.124,2021
Brazil,35,6.33,9.577,0.636453028972783,0.804,0.756,-0.071,2021
Mexico,36,6.317,9.859,0.7065496049165932,0.862,0.799,-0.147,2021
Jamaica,37,6.309,9.186,0.6680245829675153,0.89,0.884,-0.137,2021
Lithuania,38,6.255,10.499,0.6822827041264268,0.773,0.826,-0.203,2021
Cyprus,39,6.223,10.576,0.8927129060579453,0.763,0.844,-0.015,2021
Estonia,40,6.189,10.481,0.713678665496049,0.909,0.527,-0.106,2021
Panama,41,6.18,10.35,0.7435996488147497,0.872,0.856,-0.166,2021
